,city,population
0,Adelanto,32867.0
1,Agoura-Hills,20736.0
2,Alameda,78246.0
3,Albany,19682.0
4,Alhambra,85168.0
5,Aliso-Viejo,50691.0
6,Alturas,2613.0
7,Amador-City,148.0
8,American-Canyon,20341.0
9,Anaheim,349007.0
10,Anderson,10176.0
11,Angels,3760.0
12,Antioch,110026.0
13,Arcadia,58156.0
14,Arcata,17814.0
15,Arroyo-Grande,17971.0
16,Artesia,16853.0
17,Arvin,20826.0
18,Atascadero,29797.0
19,Atwater,29118.0
20,Auburn,13911.0
21,Avalon,3778.0
22,Avenal,13119.0
23,Azusa,49029.0
24,Bakersfield,372680.0
25,Baldwin-Park,76572.0
26,Banning,30824.0
27,Barstow,23609.0
28,Beaumont,43641.0
29,Bell-Gardens,42845.0
30,Bellflower,77852.0
31,Belmont,27110.0
32,Belvedere,2156.0
33,Berkeley,120179.0
34,Beverly-Hills,34506.0
35,Big-Bear-Lake,5190.0
36,Biggs,2034.0
37,Bishop,3802.0
38,Blue-Lake,1096.0
39,Blythe,19486.0
40,Bradbury,992.0
41,Brawley,25959.0
42,Brea,41921.0
43,Brentwood,58828.0
44,Brisbane,4642.0
45,Buellton,5087.0
46,Buena-Park,83020.0
47,Burbank,104765.0
48,Burlingame,30401.0
49,Calabasas,24169.0
50,Calexico,39953.0
51,California-City,13495.0
52,Calimesa,8517.0
53,Calipatria,7426.0
54,Calistoga,5281.0
55,Camarillo,67116.0
56,Campbell,41164.0
57,Canyon-Lake,11043.0
58,Capitola,10158.0
59,Carlsbad,113147.0
60,Carpinteria,13593.0
61,Carson,92927.0
62,Cathedral-City,53733.0
63,Ceres,47650.0
64,Cerritos,50145.0
65,Chico,90660.0
66,Chino,85609.0
67,Chino-Hills,78025.0
68,Chowchilla,18314.0
69,Chula-Vista,264101.0
70,Citrus-Heights,86618.0
71,Claremont,35949.0
72,Clayton,11838.0
73,Clearlake,15061.0
74,Cloverdale,8810.0
75,Clovis,104411.0
76,Coachella,44382.0
77,Coalinga,16612.0
78,Colfax,2187.0
79,Colton,54200.0
80,Colusa,5938.0
81,Commerce,12998.0
82,Compton,97847.0
83,Concord,128160.0
84,Corcoran,22650.0
85,Corning,7550.0
86,Corona,163585.0
87,Coronado,24053.0
88,Costa-Mesa,112930.0
89,Cotati,7448.0
90,Covina,48601.0
91,Crescent-City,6751.0
92,Cudahy,24146.0
93,Culver-City,39432.0
94,Cupertino,60687.0
95,Cypress,49108.0
96,Daly-City,106480.0
97,Dana-Point,34028.0
98,Davis,67500.0
99,Del-Mar,4338.0
100,Del-Rey-Oaks,1555.0
101,Delano,52709.0
102,Desert-Hot-Springs,28298.0
103,Diamond-Bar,56600.0
104,Dinuba,23712.0
105,Dixon,19488.0
106,Dorris,877.0
107,Dos-Palos,5186.0
108,Downey,113358.0
109,Duarte,21832.0
110,Dublin,57022.0
111,Dunsmuir,1594.0
112,East-Palo-Alto,29646.0
113,Eastvale,59733.0
114,El-Cajon,103314.0
115,El-Centro,43932.0
116,El-Cerrito,24982.0
117,El-Monte,115958.0
118,El-Segundo,16929.0
119,Elk-Grove,166228.0
120,Emeryville,11524.0
121,Encinitas,62595.0
122,Escalon,7449.0
123,Escondido,150783.0
124,Etna,709.0
125,Eureka,27024.0
126,Exeter,10520.0
127,Fairfield,112790.0
128,Farmersville,10738.0
129,Ferndale,1458.0
130,Fillmore,15529.0
131,Firebaugh,8275.0
132,Folsom,75897.0
133,Fontana,207086.0
134,Fort-Bragg,7269.0
135,Fort-Jones,819.0
136,Fortuna,11981.0
137,Foster-City,33529.0
138,Fountain-Valley,56640.0
139,Fowler,6200.0
140,Fremont,230964.0
141,Fresno,519037.0
142,Fullerton,139976.0
143,Galt,25222.0
144,Garden-Grove,174812.0
145,Gardena,60096.0
146,Gilroy,54159.0
147,Glendale,199750.0
148,Glendora,51891.0
149,Goleta,30847.0
150,Gonzales,8462.0
151,Grand-Terrace,12439.0
152,Grass-Valley,12893.0
153,Greenfield,17188.0
154,Gridley,6576.0
155,Grover-Beach,13524.0
156,Guadalupe,7313.0
157,Gustine,5735.0
158,Half-Moon-Bay,12565.0
159,Hanford,55599.0
160,Hawaiian-Gardens,14465.0
161,Hawthorne,87425.0
162,Hayward,156917.0
163,Healdsburg,11721.0
164,Hemet,83604.0
165,Hercules,25260.0
166,Hermosa-Beach,19750.0
167,Hesperia,93190.0
168,Hidden-Hills,1676.0
169,Highland,54704.0
170,Hollister,37182.0
171,Holtville,6355.0
172,Hughson,7295.0
173,Huntington-Beach,200415.0
174,Huntington-Park,58993.0
175,Huron,6926.0
176,Imperial,16931.0
177,Imperial-Beach,27270.0
178,Indian-Wells,5267.0
179,Indio,86867.0
180,Industry,334.0
181,Inglewood,111006.0
182,Ione,7161.0
183,Irvine,256877.0
184,Irwindale,1371.0
185,Isleton,597.0
186,Jackson,4656.0
187,Jurupa-Valley,102202.0
188,Kerman,14537.0
189,King-City,13721.0
190,Kingsburg,11794.0
191,La-Habra,61965.0
192,La-Habra-Heights,5425.0
193,La-Mesa,59479.0
194,La-Mirada,49162.0
195,La-Palma,15814.0
196,La-Puente,40451.0
197,La-Quinta,40305.0
198,La-Verne,32320.0
199,Lafayette,25792.0
200,Laguna-Beach,23224.0
201,Laguna-Hills,31235.0
202,Laguna-Niguel,65429.0
203,Laguna-Woods,16314.0
204,Lake-Elsinore,62229.0
205,Lake-Forest,81812.0
206,Lakeport,4766.0
207,Lakewood,81106.0
208,Lancaster,160113.0
209,Larkspur,12367.0
210,Lathrop,21050.0
211,Lawndale,33191.0
212,Lemon-Grove,26645.0
213,Lemoore,25525.0
214,Lincoln,46404.0
215,Lindsay,13167.0
216,Live-Oak,8537.0
217,Livermore,88232.0
218,Livingston,13831.0
219,Lodi,64403.0
220,Loma-Linda,23961.0
221,Lomita,20707.0
222,Lompoc,43762.0
223,Long-Beach,470489.0
224,Los-Alamitos,11639.0
225,Los-Altos,30527.0
226,Los-Angeles,3949780.0
227,Los-Banos,37559.0
228,Loyalton,1082.0
229,Lynwood,71350.0
230,Madera,64058.0
231,Malibu,12871.0
232,Manhattan-Beach,35698.0
233,Manteca,75314.0
234,Maricopa,1127.0
235,Marina,21227.0
236,Martinez,37902.0
237,Marysville,12225.0
238,Maywood,27700.0
239,McFarland,13930.0
240,Mendota,11396.0
241,Menifee,86820.0
242,Menlo-Park,33661.0
243,Merced,82008.0
244,Mill-Valley,14392.0
245,Millbrae,22738.0
246,Milpitas,75498.0
247,Mission-Viejo,96535.0
248,Modesto,210166.0
249,Monrovia,37138.0
250,Montague,1385.0
251,Montclair,38613.0
252,Monte-Sereno,3551.0
253,Montebello,63468.0
254,Monterey,28671.0
255,Monterey-Park,61056.0
256,Moorpark,36060.0
257,Moreno-Valley,203691.0
258,Morgan-Hill,43136.0
259,Morro-Bay,10568.0
260,Mount-Shasta,3281.0
261,Mountain-View,80076.0
262,Murrieta,110043.0
263,Napa,79722.0
264,National-City,60715.0
265,Needles,4984.0
266,Nevada-City,3112.0
267,Newark,45554.0
268,Newman,10951.0
269,Newport-Beach,86793.0
270,Norco,26711.0
271,Norwalk,106404.0
272,Novato,55378.0
273,Oakdale,22256.0
274,Oakland,417442.0
275,Oakley,39950.0
276,Oceanside,174811.0
277,Ojai,7594.0
278,Ontario,171041.0
279,Orange,140289.0
280,Orange-Cove,9567.0
281,Orinda,19248.0
282,Orland,7532.0
283,Oroville,18932.0
284,Oxnard,206732.0
285,Pacific-Grove,15617.0
286,Pacifica,39141.0
287,Palm-Desert,51675.0
288,Palm-Springs,47140.0
289,Palmdale,157358.0
290,Palo-Alto,67082.0
291,Palos-Verdes-Estates,13591.0
292,Paramount,55020.0
293,Parlier,15051.0
294,Pasadena,141231.0
295,Patterson,21497.0
296,Perris,75011.0
297,Petaluma,60210.0
298,Pico-Rivera,63750.0
299,Piedmont,11296.0
300,Pinole,19191.0
301,Pismo-Beach,8060.0
302,Pittsburg,69449.0
303,Placentia,52294.0
304,Placerville,10681.0
305,Pleasant-Hill,34662.0
306,Pleasanton,79341.0
307,Plymouth,1002.0
308,Point-Arena,472.0
309,Pomona,152366.0
310,Port-Hueneme,22262.0
311,Porterville,58782.0
312,Portola,2033.0
313,Poway,49874.0
314,Rancho-Cordova,70785.0
315,Rancho-Cucamonga,174573.0
316,Rancho-Mirage,17975.0
317,Rancho-Palos-Verdes,42463.0
318,Rancho-Santa-Margarita,49078.0
319,Red-Bluff,14111.0
320,Redding,91236.0
321,Redlands,70765.0
322,Redondo-Beach,67950.0
323,Redwood-City,84368.0
324,Reedley,25419.0
325,Rialto,102708.0
326,Richmond,108853.0
327,Ridgecrest,28728.0
328,Rio-Dell,3385.0
329,Rio-Vista,8350.0
330,Ripon,15173.0
331,Riverbank,24047.0
332,Riverside,321570.0
333,Rocklin,61697.0
334,Rohnert-Park,42305.0
335,Rolling-Hills,1684.0
336,Rolling-Hills-Estates,8229.0
337,Rosemead,54615.0
338,Roseville,130705.0
339,Sacramento,489650.0
340,Salinas,156811.0
341,San-Bernardino,215252.0
342,San-Bruno,43105.0
343,San-Carlos,29954.0
344,San-Clemente,65226.0
345,San-Diego,1390970.0
346,San-Dimas,34334.0
347,San-Fernando,24581.0
348,San-Francisco,864263.0
349,San-Gabriel,40315.0
350,San-Jacinto,46932.0
351,San-Joaquin,4025.0
352,San-Jose,1023030.0
353,San-Juan-Bautista,2212.0
354,San-Juan-Capistrano,35948.0
355,San-Leandro,89910.0
356,San-Luis-Obispo,46997.0
357,San-Marcos,93493.0
358,San-Marino,13331.0
359,San-Mateo,103500.0
360,San-Pablo,30720.0
361,San-Rafael,59180.0
362,San-Ramon,75048.0
363,Sand-City,355.0
364,Sanger,24883.0
365,Santa-Ana,334493.0
366,Santa-Barbara,91443.0
367,Santa-Clara,124635.0
368,Santa-Clarita,209489.0
369,Santa-Cruz,63993.0
370,Santa-Fe-Springs,17669.0
371,Santa-Maria,104791.0
372,Santa-Monica,92495.0
373,Santa-Paula,30344.0
374,Santa-Rosa,174244.0
375,Santee,57376.0
376,Saratoga,31013.0
377,Sausalito,7147.0
378,Scotts-Valley,11892.0
379,Seal-Beach,24510.0
380,Seaside,34259.0
381,Sebastopol,7653.0
382,Selma,24537.0
383,Shafter,18433.0
384,Shasta-Lake,10125.0
385,Sierra-Madre,11061.0
386,Signal-Hill,11508.0
387,Simi-Valley,126546.0
388,Solana-Beach,13362.0
389,Soledad,25603.0
390,Solvang,5650.0
391,Sonoma,11014.0
392,Sonora,4824.0
393,South-El-Monte,20712.0
394,South-Gate,95420.0
395,South-Lake-Tahoe,21680.0
396,South-Pasadena,25974.0
397,South-San-Francisco,67120.0
398,Stanton,38648.0
399,Stockton,304358.0
400,Suisun-City,29280.0
401,Sunnyvale,151565.0
402,Susanville,15286.0
403,Sutter-Creek,2517.0
404,Taft,9224.0
405,Tehachapi,12948.0
406,Tehama,392.0
407,Temecula,110722.0
408,Temple-City,36214.0
409,Thousand-Oaks,128909.0
410,Torrance,147190.0
411,Tracy,87613.0
412,Trinidad,199.0
413,Tulare,62296.0
414,Tulelake,913.0
415,Turlock,71906.0
416,Tustin,80007.0
417,Twentynine-Palms,25995.0
418,Ukiah,15917.0
419,Union-City,74354.0
420,Upland,76155.0
421,Vacaville,96918.0
422,Vallejo,120599.0
423,Vernon,76.0
424,Victorville,121721.0
425,Villa-Park,5935.0
426,Visalia,130047.0
427,Vista,99496.0
428,Walnut,30062.0
429,Walnut-Creek,68516.0
430,Wasco,26378.0
431,Waterford,8786.0
432,Watsonville,53452.0
433,Weed,2707.0
434,West-Covina,107786.0
435,West-Hollywood,36148.0
436,West-Sacramento,52206.0
437,Westlake-Village,8450.0
438,Westminster,91785.0
439,Westmorland,2382.0
440,Wheatland,3671.0
441,Whittier,86852.0
442,Wildomar,35492.0
443,Williams,5208.0
444,Willits,4844.0
445,Willows,6055.0
446,Winters,7059.0
447,Woodlake,7631.0
448,Woodland,58324.0
449,Yorba-Linda,67740.0
450,Yreka,7571.0
451,Yuba-City,66229.0
452,Yucaipa,53151.0
